DATE,PRS85006013
1947-01-01,39.208
1947-04-01,39.380
1947-07-01,39.672
1947-10-01,39.987
1948-01-01,40.188
1948-04-01,40.298
1948-07-01,40.705
1948-10-01,40.475
1949-01-01,39.828
1949-04-01,39.317
1949-07-01,39.051
1949-10-01,38.845
1950-01-01,38.953
1950-04-01,39.815
1950-07-01,40.876
1950-10-01,41.209
1951-01-01,41.846
1951-04-01,42.194
1951-07-01,42.010
1951-10-01,42.064
1952-01-01,42.138
1952-04-01,42.200
1952-07-01,42.429
1952-10-01,43.424
1953-01-01,43.878
1953-04-01,44.042
1953-07-01,43.960
1953-10-01,43.372
1954-01-01,42.867
1954-04-01,42.508
1954-07-01,42.407
1954-10-01,42.728
1955-01-01,43.213
1955-04-01,43.706
1955-07-01,44.153
1955-10-01,44.589
1956-01-01,45.016
1956-04-01,45.290
1956-07-01,45.094
1956-10-01,45.264
1957-01-01,45.461
1957-04-01,45.667
1957-07-01,45.555
1957-10-01,45.014
1958-01-01,44.068
1958-04-01,43.384
1958-07-01,43.696
1958-10-01,44.132
1959-01-01,44.831
1959-04-01,45.548
1959-07-01,45.555
1959-10-01,45.670
1960-01-01,46.054
1960-04-01,46.111
1960-07-01,45.804
1960-10-01,45.568
1961-01-01,45.403
1961-04-01,45.314
1961-07-01,45.515
1961-10-01,45.918
1962-01-01,46.203
1962-04-01,46.536
1962-07-01,46.459
1962-10-01,46.344
1963-01-01,46.573
1963-04-01,46.773
1963-07-01,47.025
1963-10-01,47.270
1964-01-01,47.673
1964-04-01,47.776
1964-07-01,48.185
1964-10-01,48.590
1965-01-01,49.072
1965-04-01,49.657
1965-07-01,49.905
1965-10-01,50.355
1966-01-01,50.972
1966-04-01,51.623
1966-07-01,52.062
1966-10-01,52.162
1967-01-01,52.380
1967-04-01,52.396
1967-07-01,52.618
1967-10-01,52.882
1968-01-01,53.157
1968-04-01,53.569
1968-07-01,53.949
1968-10-01,54.545
1969-01-01,55.094
1969-04-01,55.684
1969-07-01,56.068
1969-10-01,56.118
1970-01-01,56.138
1970-04-01,55.791
1970-07-01,55.772
1970-10-01,55.394
1971-01-01,55.644
1971-04-01,55.845
1971-07-01,55.941
1971-10-01,56.339
1972-01-01,56.966
1972-04-01,57.387
1972-07-01,57.757
1972-10-01,58.438
1973-01-01,59.382
1973-04-01,60.030
1973-07-01,60.433
1973-10-01,60.911
1974-01-01,61.091
1974-04-01,61.428
1974-07-01,61.391
1974-10-01,60.784
1975-01-01,59.365
1975-04-01,58.890
1975-07-01,59.317
1975-10-01,60.019
1976-01-01,60.808
1976-04-01,61.257
1976-07-01,61.614
1976-10-01,62.078
1977-01-01,62.823
1977-04-01,63.911
1977-07-01,64.736
1977-10-01,65.467
1978-01-01,66.259
1978-04-01,67.569
1978-07-01,68.245
1978-10-01,69.155
1979-01-01,69.967
1979-04-01,70.590
1979-07-01,71.014
1979-10-01,71.194
1980-01-01,71.399
1980-04-01,70.682
1980-07-01,70.480
1980-10-01,71.093
1981-01-01,71.417
1981-04-01,71.756
1981-07-01,71.996
1981-10-01,71.628
1982-01-01,71.069
1982-04-01,70.919
1982-07-01,70.411
1982-10-01,69.817
1983-01-01,69.999
1983-04-01,70.655
1983-07-01,71.557
1983-10-01,72.855
1984-01-01,74.011
1984-04-01,74.860
1984-07-01,75.464
1984-10-01,76.031
1985-01-01,76.602
1985-04-01,77.035
1985-07-01,77.405
1985-10-01,77.919
1986-01-01,77.983
1986-04-01,78.234
1986-07-01,78.851
1986-10-01,79.346
1987-01-01,79.903
1987-04-01,80.471
1987-07-01,81.069
1987-10-01,81.753
1988-01-01,82.319
1988-04-01,83.275
1988-07-01,83.639
1988-10-01,84.256
1989-01-01,84.945
1989-04-01,85.199
1989-07-01,85.252
1989-10-01,85.591
1990-01-01,86.060
1990-04-01,86.079
1990-07-01,85.861
1990-10-01,85.501
1991-01-01,84.882
1991-04-01,84.492
1991-07-01,84.277
1991-10-01,84.170
1992-01-01,83.730
1992-04-01,83.849
1992-07-01,84.041
1992-10-01,84.440
1993-01-01,85.121
1993-04-01,85.811
1993-07-01,86.231
1993-10-01,86.894
1994-01-01,87.539
1994-04-01,88.402
1994-07-01,89.429
1994-10-01,89.933
1995-01-01,90.729
1995-04-01,91.106
1995-07-01,91.661
1995-10-01,91.922
1996-01-01,92.557
1996-04-01,93.147
1996-07-01,93.750
1996-10-01,94.651
1997-01-01,95.372
1997-04-01,95.910
1997-07-01,96.374
1997-10-01,96.970
1998-01-01,97.497
1998-04-01,98.158
1998-07-01,98.589
1998-10-01,99.076
1999-01-01,99.266
1999-04-01,99.905
1999-07-01,100.463
1999-10-01,100.900
2000-01-01,101.569
2000-04-01,101.915
2000-07-01,102.100
2000-10-01,102.045
2001-01-01,102.432
2001-04-01,101.765
2001-07-01,101.013
2001-10-01,100.078
2002-01-01,99.139
2002-04-01,98.994
2002-07-01,98.898
2002-10-01,99.039
2003-01-01,98.935
2003-04-01,98.666
2003-07-01,98.928
2003-10-01,99.255
2004-01-01,99.460
2004-04-01,100.034
2004-07-01,100.553
2004-10-01,101.104
2005-01-01,101.548
2005-04-01,101.959
2005-07-01,102.329
2005-10-01,102.783
2006-01-01,103.681
2006-04-01,104.010
2006-07-01,104.281
2006-10-01,104.686
2007-01-01,104.952
2007-04-01,105.252
2007-07-01,105.079
2007-10-01,105.079
2008-01-01,104.822
2008-04-01,104.370
2008-07-01,103.532
2008-10-01,101.553
2009-01-01,99.566
2009-04-01,97.812
2009-07-01,96.920
2009-10-01,96.450
2010-01-01,96.231
2010-04-01,96.450
2010-07-01,96.509
2010-10-01,96.904
2011-01-01,97.380
2011-04-01,97.813
2011-07-01,98.192
2011-10-01,98.749
2012-01-01,99.366
2012-04-01,99.742
2012-07-01,100.220
2012-10-01,100.669
2013-01-01,101.088
2013-04-01,101.591
2013-07-01,102.119
2013-10-01,102.508
2014-01-01,102.983
2014-04-01,103.514
2014-07-01,104.050
2014-10-01,105.029
2015-01-01,105.408
2015-04-01,106.144
2015-07-01,106.311
2015-10-01,107.016
2016-01-01,107.500
2016-04-01,107.974
2016-07-01,108.238
2016-10-01,108.842
2017-01-01,109.243
2017-04-01,109.460
2017-07-01,109.952
2017-10-01,110.775
2018-01-01,111.346
2018-04-01,111.658
2018-07-01,112.231
2018-10-01,112.861
