date,yearwk,Crest,Colgate,pulse.ADA,step.ADA
1958-01-01,1958,0.108,0.424,0,0
1958-01-08,1958.0192307692307,0.166,0.482,0,0
1958-01-15,1958.0384615384614,0.126,0.428,0,0
1958-01-22,1958.0576923076924,0.115,0.397,0,0
1958-01-29,1958.076923076923,0.119,0.352,0,0
1958-02-05,1958.0961538461538,0.176,0.342,0,0
1958-02-12,1958.1153846153845,0.155,0.434,0,0
1958-02-19,1958.1346153846155,0.118,0.445,0,0
1958-02-26,1958.1538461538462,0.136,0.428,0,0
1958-03-05,1958.173076923077,0.137,0.395,0,0
1958-03-12,1958.1923076923076,0.124,0.354,0,0
1958-03-19,1958.2115384615386,0.131,0.497,0,0
1958-03-26,1958.2307692307693,0.12,0.425,0,0
1958-04-02,1958.25,0.133,0.401,0,0
1958-04-09,1958.2692307692307,0.067,0.363,0,0
1958-04-16,1958.2884615384614,0.086,0.341,0,0
1958-04-23,1958.3076923076924,0.14,0.464,0,0
1958-04-30,1958.326923076923,0.122,0.431,0,0
1958-05-07,1958.3461538461538,0.105,0.405,0,0
1958-05-14,1958.3653846153845,0.079,0.46,0,0
1958-05-21,1958.3846153846155,0.13,0.41,0,0
1958-05-28,1958.4038461538462,0.142,0.423,0,0
1958-06-04,1958.423076923077,0.12,0.31,0,0
1958-06-11,1958.4423076923076,0.115,0.413,0,0
1958-06-18,1958.4615384615386,0.103,0.411,0,0
1958-06-25,1958.4807692307693,0.078,0.452,0,0
1958-07-02,1958.5,0.093,0.405,0,0
1958-07-09,1958.5192307692307,0.086,0.29,0,0
1958-07-16,1958.5384615384614,0.099,0.342,0,0
1958-07-23,1958.5576923076924,0.078,0.311,0,0
1958-07-30,1958.576923076923,0.095,0.327,0,0
1958-08-06,1958.5961538461538,0.094,0.413,0,0
1958-08-13,1958.6153846153845,0.056,0.4,0,0
1958-08-20,1958.6346153846155,0.05,0.38,0,0
1958-08-27,1958.6538461538462,0.065,0.371,0,0
1958-09-03,1958.673076923077,0.091,0.344,0,0
1958-09-10,1958.6923076923076,0.094,0.345,0,0
1958-09-17,1958.7115384615386,0.124,0.363,0,0
1958-09-24,1958.7307692307693,0.153,0.392,0,0
1958-10-01,1958.75,0.078,0.379,0,0
1958-10-08,1958.7692307692307,0.114,0.349,0,0
1958-10-15,1958.7884615384614,0.088,0.337,0,0
1958-10-22,1958.8076923076924,0.165,0.235,0,0
1958-10-29,1958.826923076923,0.16,0.25,0,0
1958-11-05,1958.8461538461538,0.075,0.36,0,0
1958-11-12,1958.8653846153845,0.118,0.282,0,0
1958-11-19,1958.8846153846155,0.1,0.257,0,0
1958-11-26,1958.9038461538462,0.102,0.345,0,0
1958-12-03,1958.923076923077,0.131,0.344,0,0
1958-12-10,1958.9423076923076,0.148,0.358,0,0
1958-12-17,1958.9615384615386,0.137,0.322,0,0
1958-12-24,1958.9807692307693,0.09,0.332,0,0
1959-01-01,1959,0.088,0.315,0,0
1959-01-08,1959.0192307692307,0.172,0.316,0,0
1959-01-15,1959.0384615384614,0.111,0.341,0,0
1959-01-22,1959.0576923076924,0.097,0.387,0,0
1959-01-29,1959.076923076923,0.098,0.402,0,0
1959-02-05,1959.0961538461538,0.09,0.347,0,0
1959-02-12,1959.1153846153845,0.127,0.414,0,0
1959-02-19,1959.1346153846155,0.116,0.426,0,0
1959-02-26,1959.1538461538462,0.137,0.322,0,0
1959-03-05,1959.173076923077,0.111,0.372,0,0
1959-03-12,1959.1923076923076,0.107,0.381,0,0
1959-03-19,1959.2115384615386,0.097,0.339,0,0
1959-03-26,1959.2307692307693,0.134,0.405,0,0
1959-04-02,1959.25,0.16,0.304,0,0
1959-04-09,1959.2692307692307,0.147,0.439,0,0
1959-04-16,1959.2884615384614,0.104,0.336,0,0
1959-04-23,1959.3076923076924,0.128,0.405,0,0
1959-04-30,1959.326923076923,0.128,0.359,0,0
1959-05-07,1959.3461538461538,0.165,0.379,0,0
1959-05-14,1959.3653846153845,0.184,0.303,0,0
1959-05-21,1959.3846153846155,0.172,0.34,0,0
1959-05-28,1959.4038461538462,0.207,0.312,0,0
1959-06-04,1959.423076923077,0.221,0.291,0,0
1959-06-11,1959.4423076923076,0.159,0.259,0,0
1959-06-18,1959.4615384615386,0.198,0.342,0,0
1959-06-25,1959.4807692307693,0.197,0.458,0,0
1959-07-02,1959.5,0.251,0.275,0,0
1959-07-09,1959.5192307692307,0.146,0.34,0,0
1959-07-16,1959.5384615384614,0.133,0.385,0,0
1959-07-23,1959.5576923076924,0.243,0.338,0,0
1959-07-30,1959.576923076923,0.192,0.37,0,0
1959-08-06,1959.5961538461538,0.15,0.29,0,0
1959-08-13,1959.6153846153845,0.221,0.325,0,0
1959-08-20,1959.6346153846155,0.183,0.337,0,0
1959-08-27,1959.6538461538462,0.136,0.338,0,0
1959-09-03,1959.673076923077,0.206,0.323,0,0
1959-09-10,1959.6923076923076,0.127,0.357,0,0
1959-09-17,1959.7115384615386,0.139,0.381,0,0
1959-09-24,1959.7307692307693,0.189,0.371,0,0
1959-10-01,1959.75,0.194,0.294,0,0
1959-10-08,1959.7692307692307,0.114,0.384,0,0
1959-10-15,1959.7884615384614,0.229,0.286,0,0
1959-10-22,1959.8076923076924,0.148,0.335,0,0
1959-10-29,1959.826923076923,0.155,0.31,0,0
1959-11-05,1959.8461538461538,0.106,0.304,0,0
1959-11-12,1959.8653846153845,0.156,0.305,0,0
1959-11-19,1959.8846153846155,0.053,0.403,0,0
1959-11-26,1959.9038461538462,0.112,0.365,0,0
1959-12-03,1959.923076923077,0.084,0.305,0,0
1959-12-10,1959.9423076923076,0.191,0.172,0,0
1959-12-17,1959.9615384615386,0.149,0.321,0,0
1959-12-24,1959.9807692307693,0.143,0.343,0,0
1960-01-01,1960,0.094,0.354,0,0
1960-01-08,1960.0192307692307,0.184,0.316,0,0
1960-01-15,1960.0384615384614,0.205,0.292,0,0
1960-01-22,1960.0576923076924,0.206,0.305,0,0
1960-01-29,1960.076923076923,0.191,0.294,0,0
1960-02-05,1960.0961538461538,0.195,0.289,0,0
1960-02-12,1960.1153846153845,0.179,0.301,0,0
1960-02-19,1960.1346153846155,0.272,0.304,0,0
1960-02-26,1960.1538461538462,0.203,0.306,0,0
1960-03-04,1960.173076923077,0.165,0.405,0,0
1960-03-11,1960.1923076923076,0.138,0.344,0,0
1960-03-18,1960.2115384615386,0.216,0.353,0,0
1960-03-25,1960.2307692307693,0.132,0.383,0,0
1960-04-01,1960.25,0.12,0.349,0,0
1960-04-08,1960.2692307692307,0.083,0.374,0,0
1960-04-15,1960.2884615384614,0.118,0.411,0,0
1960-04-22,1960.3076923076924,0.125,0.287,0,0
1960-04-29,1960.326923076923,0.109,0.42,0,0
1960-05-06,1960.3461538461538,0.119,0.47,0,0
1960-05-13,1960.3653846153845,0.154,0.354,0,0
1960-05-20,1960.3846153846155,0.122,0.392,0,0
1960-05-27,1960.4038461538462,0.126,0.421,0,0
1960-06-03,1960.423076923077,0.126,0.435,0,0
1960-06-10,1960.4423076923076,0.13,0.424,0,0
1960-06-17,1960.4615384615386,0.158,0.344,0,0
1960-06-24,1960.4807692307693,0.141,0.369,0,0
1960-07-02,1960.5,0.145,0.364,0,0
1960-07-09,1960.5192307692307,0.127,0.386,0,0
1960-07-16,1960.5384615384614,0.171,0.406,0,0
1960-07-23,1960.5576923076924,0.152,0.439,0,0
1960-07-30,1960.576923076923,0.211,0.345,1,1
1960-08-06,1960.5961538461538,0.309,0.291,0,1
1960-08-13,1960.6153846153845,0.242,0.292,0,1
1960-08-20,1960.6346153846155,0.38,0.249,0,1
1960-08-27,1960.6538461538462,0.362,0.283,0,1
1960-09-03,1960.673076923077,0.328,0.301,0,1
1960-09-10,1960.6923076923076,0.359,0.28,0,1
1960-09-17,1960.7115384615386,0.352,0.251,0,1
1960-09-24,1960.7307692307693,0.322,0.303,0,1
1960-10-01,1960.75,0.333,0.274,0,1
1960-10-08,1960.7692307692307,0.365,0.328,0,1
1960-10-15,1960.7884615384614,0.367,0.244,0,1
1960-10-22,1960.8076923076924,0.305,0.323,0,1
1960-10-29,1960.826923076923,0.298,0.288,0,1
1960-11-05,1960.8461538461538,0.307,0.293,0,1
1960-11-12,1960.8653846153845,0.318,0.321,0,1
1960-11-19,1960.8846153846155,0.28,0.33,0,1
1960-11-26,1960.9038461538462,0.298,0.273,0,1
1960-12-03,1960.923076923077,0.336,0.304,0,1
1960-12-10,1960.9423076923076,0.339,0.292,0,1
1960-12-17,1960.9615384615386,0.344,0.251,0,1
1960-12-24,1960.9807692307693,0.31,0.35,0,1
1961-01-01,1961,0.317,0.302,0,1
1961-01-08,1961.0192307692307,0.369,0.306,0,1
1961-01-15,1961.0384615384614,0.32,0.272,0,1
1961-01-22,1961.0576923076924,0.29,0.296,0,1
1961-01-29,1961.076923076923,0.361,0.265,0,1
1961-02-05,1961.0961538461538,0.235,0.364,0,1
1961-02-12,1961.1153846153845,0.32,0.284,0,1
1961-02-19,1961.1346153846155,0.337,0.33,0,1
1961-02-26,1961.1538461538462,0.289,0.351,0,1
1961-03-05,1961.173076923077,0.339,0.336,0,1
1961-03-12,1961.1923076923076,0.187,0.383,0,1
1961-03-19,1961.2115384615386,0.414,0.214,0,1
1961-03-26,1961.2307692307693,0.373,0.26,0,1
1961-04-02,1961.25,0.265,0.298,0,1
1961-04-09,1961.2692307692307,0.316,0.248,0,1
1961-04-16,1961.2884615384614,0.245,0.308,0,1
1961-04-23,1961.3076923076924,0.328,0.356,0,1
1961-04-30,1961.326923076923,0.368,0.278,0,1
1961-05-07,1961.3461538461538,0.287,0.314,0,1
1961-05-14,1961.3653846153845,0.369,0.214,0,1
1961-05-21,1961.3846153846155,0.406,0.253,0,1
1961-05-28,1961.4038461538462,0.316,0.287,0,1
1961-06-04,1961.423076923077,0.362,0.238,0,1
1961-06-11,1961.4423076923076,0.308,0.253,0,1
1961-06-18,1961.4615384615386,0.286,0.336,0,1
1961-06-25,1961.4807692307693,0.42,0.255,0,1
1961-07-02,1961.5,0.299,0.249,0,1
1961-07-09,1961.5192307692307,0.383,0.195,0,1
1961-07-16,1961.5384615384614,0.354,0.269,0,1
1961-07-23,1961.5576923076924,0.418,0.201,0,1
1961-07-30,1961.576923076923,0.425,0.184,0,1
1961-08-06,1961.5961538461538,0.445,0.203,0,1
1961-08-13,1961.6153846153845,0.408,0.193,0,1
1961-08-20,1961.6346153846155,0.282,0.322,0,1
1961-08-27,1961.6538461538462,0.41,0.261,0,1
1961-09-03,1961.673076923077,0.425,0.183,0,1
1961-09-10,1961.6923076923076,0.358,0.289,0,1
1961-09-17,1961.7115384615386,0.393,0.243,0,1
1961-09-24,1961.7307692307693,0.375,0.302,0,1
1961-10-01,1961.75,0.273,0.35,0,1
1961-10-08,1961.7692307692307,0.237,0.401,0,1
1961-10-15,1961.7884615384614,0.331,0.332,0,1
1961-10-22,1961.8076923076924,0.335,0.351,0,1
1961-10-29,1961.826923076923,0.395,0.28,0,1
1961-11-05,1961.8461538461538,0.357,0.308,0,1
1961-11-12,1961.8653846153845,0.296,0.299,0,1
1961-11-19,1961.8846153846155,0.307,0.199,0,1
1961-11-26,1961.9038461538462,0.39,0.283,0,1
1961-12-03,1961.923076923077,0.298,0.333,0,1
1961-12-10,1961.9423076923076,0.381,0.233,0,1
1961-12-17,1961.9615384615386,0.354,0.296,0,1
1961-12-24,1961.9807692307693,0.436,0.267,0,1
1962-01-01,1962,0.357,0.253,0,1
1962-01-08,1962.0192307692307,0.427,0.239,0,1
1962-01-15,1962.0384615384614,0.432,0.155,0,1
1962-01-22,1962.0576923076924,0.45,0.247,0,1
1962-01-29,1962.076923076923,0.53,0.201,0,1
1962-02-05,1962.0961538461538,0.431,0.266,0,1
1962-02-12,1962.1153846153845,0.42,0.29,0,1
1962-02-19,1962.1346153846155,0.411,0.231,0,1
1962-02-26,1962.1538461538462,0.423,0.255,0,1
1962-03-05,1962.173076923077,0.433,0.242,0,1
1962-03-12,1962.1923076923076,0.393,0.271,0,1
1962-03-19,1962.2115384615386,0.389,0.266,0,1
1962-03-26,1962.2307692307693,0.387,0.244,0,1
1962-04-02,1962.25,0.439,0.204,0,1
1962-04-09,1962.2692307692307,0.421,0.213,0,1
1962-04-16,1962.2884615384614,0.363,0.295,0,1
1962-04-23,1962.3076923076924,0.401,0.254,0,1
1962-04-30,1962.326923076923,0.394,0.242,0,1
1962-05-07,1962.3461538461538,0.459,0.228,0,1
1962-05-14,1962.3653846153845,0.441,0.181,0,1
1962-05-21,1962.3846153846155,0.388,0.264,0,1
1962-05-28,1962.4038461538462,0.373,0.277,0,1
1962-06-04,1962.423076923077,0.385,0.284,0,1
1962-06-11,1962.4423076923076,0.314,0.248,0,1
1962-06-18,1962.4615384615386,0.347,0.28,0,1
1962-06-25,1962.4807692307693,0.408,0.249,0,1
1962-07-02,1962.5,0.341,0.279,0,1
1962-07-09,1962.5192307692307,0.361,0.282,0,1
1962-07-16,1962.5384615384614,0.414,0.267,0,1
1962-07-23,1962.5576923076924,0.38,0.252,0,1
1962-07-30,1962.576923076923,0.274,0.19,0,1
1962-08-06,1962.5961538461538,0.352,0.284,0,1
1962-08-13,1962.6153846153845,0.439,0.207,0,1
1962-08-20,1962.6346153846155,0.355,0.327,0,1
1962-08-27,1962.6538461538462,0.435,0.259,0,1
1962-09-03,1962.673076923077,0.408,0.286,0,1
1962-09-10,1962.6923076923076,0.383,0.275,0,1
1962-09-17,1962.7115384615386,0.357,0.244,0,1
1962-09-24,1962.7307692307693,0.374,0.341,0,1
1962-10-01,1962.75,0.366,0.331,0,1
1962-10-08,1962.7692307692307,0.346,0.25,0,1
1962-10-15,1962.7884615384614,0.381,0.22,0,1
1962-10-22,1962.8076923076924,0.329,0.293,0,1
1962-10-29,1962.826923076923,0.474,0.205,0,1
1962-11-05,1962.8461538461538,0.397,0.254,0,1
1962-11-12,1962.8653846153845,0.436,0.268,0,1
1962-11-19,1962.8846153846155,0.417,0.211,0,1
1962-11-26,1962.9038461538462,0.43,0.203,0,1
1962-12-03,1962.923076923077,0.388,0.271,0,1
1962-12-10,1962.9423076923076,0.453,0.29,0,1
1962-12-17,1962.9615384615386,0.316,0.323,0,1
1962-12-24,1962.9807692307693,0.414,0.253,0,1
